문법,번호,한국어,영어
Be동사 (현재),1,나 피곤하긴 한데 배고프진 않아.,"I'm tired, but I'm not hungry."
Be동사 (현재),2,"나는 32살이고, 내 여동생은 29살이야.",I'm 32 years old. My sister is 29.
Be동사 (현재),3,"이 꽃들 예쁘고, 가격도 비싸지 않아.","These flowers are nice, and they aren't expensive."
Be동사 (현재),4,지금 10시야. 너 또 늦었어.,It's 10:00. You're late again.
Be동사 (현재),5,나 추워. 창문 닫아도 될까?,I'm cold. Can I close the window?
Be동사 (현재),6,제임스는 선생님이 아니라 학생이야.,James isn't a teacher. He's a student.
Be동사 (현재),7,우리 집은 시내 근처에 있어.,Our house is near downtown.
Be동사 (현재),8,톰은 여기 없어. 회사에 있어.,Tom isn't here. He's at work.
Be동사 (현재),9,안나랑 나는 친한 친구야.,Anna and I are good/close friends.
Be동사 (현재),10,파리는 정말 아름다운 도시야.,Paris is a beautiful city.
Be동사 (현재),11,알렉스는 개를 무서워해.,Alex is scared of dogs.
Be동사 (현재),12,제인은 호주 사람이야. 미국 사람이 아니야.,Jane is Australian. She isn't American.
Be동사 (현재),13,신발 예쁘다. 새 거야?,Your shoes are nice. Are they new?
Be동사 (현재),14,네 열쇠는 테이블 위에 있어.,Your keys are on the table.
Be동사 (현재),15,"A: 나 늦었어?
B: 아니, 제시간에 왔어.","A: Am I late?
B: No, you're on time."
Be동사 (현재),16,"A: 어머니는 집에 계시니?
B: 아니, 나가셨어.","A: Is your mother home?
B: No, she's out."
Be동사 (현재),17,"A: 부모님 집에 계셔?
B: 아니, 두 분 다 나가셨어.","A: Are your parents home?
B: No, they're out."
Be동사 (현재),18,"A: 네 방 춥니?
B: 응, 조금.","A: Is it cold in your room?
B: Yes, a little bit."
현재진행형,1,조용히 해 주세요. 지금 일하고 있어요.,Please be quiet. I'm working.
현재진행형,2,"봐, 사라가 있어. 지금 갈색 코트를 입고 있어.","Look, there's Sarah. She's wearing a brown coat."
현재진행형,3,날씨가 좋아요. 지금 비가 안 와요.,The weather is nice. It's not raining.
현재진행형,4,"""아이들은 어디 있어요?""
""공원에서 놀고 있어요.""","""Where are the children?""
""They're playing in the park."""
현재진행형,5,지금 저녁 먹고 있어요. 나중에 전화해도 될까요?,(on the phone) We're having dinner now. Can I call you later?
현재진행형,6,"A: 비 와?
B: 응, 우산 챙겨.","A: Is it raining?
B: Yes, bring an umbrella."
현재진행형,7,왜 코트 입고 있어? 춥지 않잖아.,Why are you wearing a coat? It's not cold.
현재진행형,8,"A: 에릭은 뭐 하고 있어?
B: 시험 공부하고 있어.","A: What's Eric doing?
B: He's studying for an exam."
현재진행형,9,"A: 아이들은 뭐 하고 있어?
B: TV 보고 있어.","A: What are the kids doing?
B: They're watching TV."
현재진행형,10,"A: (몸 상태가) 괜찮아?
B: 네, 괜찮아요. 고마워요.","A: Are you feeling OK?
B: Yes, I'm fine, thanks."
일반동사 (현재),1,나는 큰 도시들을 좋아해요.,I like big cities.
일반동사 (현재),2,당신 영어 정말 잘하네요. 말이 잘 통해요.,Your English is good. You speak very well.
일반동사 (현재),3,톰은 아주 열심히 일해요. 그는 7시 30분에 일을 시작해서 밤 8시에 끝나요.,Tom works very hard. He starts at 7:30 and finishes at 8:00 at night.
일반동사 (현재),4,지구는 태양 주위를 돌아요.,The earth goes around the sun.
일반동사 (현재),5,우리는 여가 시간에 다양한 일들을 많이 해요.,We do a lot of different things in our free time.
일반동사 (현재),6,병원을 짓는 데는 많은 돈이 들어요.,It costs a lot of money to build a hospital.
일반동사 (현재),7,수는 항상 일찍 출근해요.,Sue always gets to work early.
일반동사 (현재),8,나는 아침을 절대 먹지 않아요.,I never eat breakfast.
일반동사 (현재),9,우리는 주말에 자주 늦잠을 자요.,We often sleep late on weekends.
일반동사 (현재),10,마크는 보통 일요일마다 테니스를 쳐요.,Mark usually plays tennis on Sundays.
일반동사 (현재),11,"나는 가끔 걸어서 출근해요, 하지만 자주 그러는 건 아니에요.","I sometimes walk to work, but not very often."
일반동사 (현재),12,"가끔 그는 늦지만, 자주 그런 일은 나지 않아요.","Sometimes he is late, but it doesn't happen very often."
일반동사 (현재),13,"나는 조쉬를 좋아하지 않고, 조쉬도 나를 좋아하지 않아요.","I don't like Josh, and Josh doesn't like me."
일반동사 (현재),14,내 차는 기름을 많이 쓰지 않아요.,My car doesn't use much gas.
일반동사 (현재),15,사라는 스페인어를 하지만 이탈리아어는 못해요.,"Sarah speaks Spanish, but she doesn't speak Italian."
일반동사 (현재),16,빌은 자기 일을 그다지 잘하지 못해요.,Bill doesn't do his job very well.
일반동사 (현재),17,나는 세차하는 걸 좋아하지 않아요.,I don't like to wash the car.
Be동사 (과거),1,"작년에 레이첼이 22살이었으니, 이제 23살 입니다.","Last year Rachel was 22, so she is 23 now."
Be동사 (과거),2,"제가 어렸을 때, 개를 무서워했어요.","When I was a child, I was scared of dogs."
Be동사 (과거),3,여행이 끝나고 배가 고팠지만 피곤하진 않았어요.,"We were hungry after the trip, but we weren't tired."
Be동사 (과거),4,"호텔은 편안했지만, 비싸진 않았어요.","The hotel was comfortable, but it wasn't expensive."
Be동사 (과거),5,휴가 중이었을 때 날씨가 좋았나요?,Was the weather nice when you were on vacation?
Be동사 (과거),6,오늘 아침에 왜 늦었어요?,Why were you late this morning?
과거진행형,1,어제 11시 30분에 뭐 하고 있었어요? 일하고 있었어요.,What were you doing at 11:30 yesterday? I was working.
과거진행형,2,"A: 그가 뭐라고 말한 거야?
B: 몰라. 안 듣고 있었어.","A: What did he say?
B: I don't know. I wasn't listening."
과거진행형,3,비가 와서 우린 나가지 않았어요.,"It was raining, so we didn't go out."
과거진행형,4,2009년에 샘은 일본에서 살고 있었어요.,"In 2009, Sam was living in Japan."
과거진행형,5,그녀는 오늘 치마를 입었지만 어제는 바지를 입고 있었어.,"Today she's wearing a skirt, but yesterday she was wearing pants."
